year,estate,room4
2007,mature,1512.142857142857
2007,non-mature,1440.0
2008,mature,1822.5
2008,non-mature,1758.360655737705
2009,mature,1814.642857142857
2009,non-mature,1709.375
2010,mature,2038.4375
2010,non-mature,1860.0
2011,mature,2284.1935483870966
2011,non-mature,2106.9411764705883
2012,mature,2503.3333333333335
2012,non-mature,2316.865671641791
2013,mature,2642.5806451612902
2013,non-mature,2416.6666666666665
2014,mature,2644.6875
2014,non-mature,2360.7462686567164
2015,mature,2575.3125
2015,non-mature,2258.529411764706
2016,mature,2480.3125
2016,non-mature,2158.970588235294
2017,mature,2359.6875
2017,non-mature,2038.6764705882354
2018,mature,2278.75
2018,non-mature,1976.3235294117646
2019,mature,2295.625
2019,non-mature,1978.8235294117646
2020,mature,2312.8125
2020,non-mature,2015.5223880597016
2021,mature,2414.375
2021,non-mature,2122.9411764705883
2022,mature,2680.4166666666665
2022,non-mature,2435.8823529411766
