year,estate,resale_price
1990,mature,72240.82288645997
1990,non-mature,68577.70099306217
1991,mature,79912.44630341398
1991,non-mature,72380.38286580743
1992,mature,89579.58107425492
1992,non-mature,83448.512021926
1993,mature,134772.2931743421
1993,non-mature,135477.9137745625
1994,mature,178649.65255503537
1994,non-mature,173030.23326702174
1995,mature,221651.7611468022
1995,non-mature,210390.71737518537
1996,mature,297205.7186359914
1996,non-mature,273080.2606140095
1997,mature,327925.7048576816
1997,non-mature,302348.34602598974
1998,mature,271298.8680351906
1998,non-mature,253962.2906112085
1999,mature,257465.91949653224
1999,non-mature,253239.03185398242
2000,mature,265455.78318689234
2000,non-mature,256908.75960610624
2001,mature,256019.63043618223
2001,non-mature,239154.40774923694
2002,mature,241584.52381610914
2002,non-mature,233544.10095350415
2003,mature,236593.80707620337
2003,non-mature,230438.8768173871
2004,mature,236579.47773362766
2004,non-mature,235704.77903321214
2005,mature,233915.42340132772
2005,non-mature,235142.59382681563
2006,mature,236643.0413508842
2006,non-mature,236574.1171745082
2007,mature,266704.0060379256
2007,non-mature,261259.36409463058
2008,mature,324833.5673369015
2008,non-mature,315046.74153101066
2009,mature,343645.7989462228
2009,non-mature,336236.9588100504
2010,mature,384092.9488623813
2010,non-mature,378774.8323636364
2011,mature,429639.3762731566
2011,non-mature,424291.90186028444
2012,mature,466006.09492588765
2012,non-mature,460078.92048081895
2013,mature,480608.75487661577
2013,non-mature,474943.4768138828
2014,mature,459340.6323064626
2014,non-mature,436502.93696680036
2015,mature,452241.8525521943
2015,non-mature,428420.6544887666
2016,mature,463272.5793046698
2016,non-mature,430654.5791345093
2017,mature,484057.2479670443
2017,non-mature,431430.41583748563
2018,mature,488199.60904848855
2018,non-mature,427377.74786616163
2019,mature,467620.367588141
2019,non-mature,421836.15567290917
2020,mature,487707.2143274134
2020,non-mature,440861.609522838
2021,mature,544050.6014882183
2021,non-mature,500520.8833637196
2022,mature,570583.4900449027
2022,non-mature,543607.275226538
2023,mature,563152.0616438356
2023,non-mature,556945.7717765475
